credit_card_id,customer_id,card_number,card_type,expiration_date,credit_limit
0,106,3559242148389189,Mastercard,08/33,47611
1,526,30506429867666,Mastercard,09/34,24441
2,607,4913408494656,American Express,12/31,8947
3,816,213147117900623,American Express,01/34,9996
4,491,344026113384085,Visa,12/33,9938
5,428,4513659067704,Mastercard,06/32,48598
6,659,6569210447905386,Visa,01/30,40663
7,174,345787447440195,American Express,02/26,27364
8,673,6011645463766747,Mastercard,10/24,49689
9,483,6517422312435158,Mastercard,06/32,34806
10,202,2227685716622783,Visa,09/25,44869
11,890,4253529155922,American Express,07/33,36388
12,584,213157648843341,American Express,07/26,24259
13,633,379828993575569,Mastercard,04/28,13715
14,951,180038567386273,Visa,01/29,7354
15,463,3555302466800623,Mastercard,09/32,35464
16,962,4444347008951494,Mastercard,04/25,15681
17,535,4564482698677423245,Mastercard,05/26,27474
18,891,3536930831044354,Mastercard,05/33,48901
19,721,4937157342554971891,Visa,11/27,31454
20,412,6011945975482415,Mastercard,07/32,10361
21,725,180094633080317,Mastercard,11/25,16125
22,87,30379710155161,Mastercard,04/32,7948
23,906,4976567030362834,Visa,02/30,13555
24,128,2295566768145757,American Express,03/30,45020
25,293,180072347286073,Mastercard,06/31,9146
26,799,3576183088620028,American Express,10/25,35047
27,251,630450377886,Mastercard,09/25,6527
28,986,4838233060295700548,Visa,05/28,18334
29,830,2294573034297827,Visa,03/30,6285
30,860,3551531750679384,Visa,01/28,15395
31,799,342408720871468,American Express,10/28,37227
32,130,6011521322767863,American Express,09/28,27589
33,668,36459043510052,Visa,04/34,46651
34,352,4163315853364294,American Express,06/28,5981
35,715,503821776310,American Express,02/28,14573
36,604,4204696604382144,Mastercard,05/27,40856
37,957,213114135944454,Visa,08/33,24232
38,306,3554639777498758,American Express,12/30,21396
39,162,4836271498237584,American Express,07/25,30335
40,517,4886174993641772,Mastercard,01/25,5476
41,980,5403360603487315,American Express,11/33,46620
42,669,213105982640534,Mastercard,02/28,40027
43,372,4656291957411214608,Visa,04/30,24091
44,372,4598064118332531,Visa,05/27,22934
45,933,4966841988684,American Express,06/27,10882
46,790,4291568847598006,American Express,06/31,27559
47,317,4699243230921037,American Express,01/25,10962
48,662,30558815811659,American Express,04/26,9305
49,866,6577065612559008,Mastercard,10/32,17771
50,814,4220430352039255950,Visa,01/32,48972
51,251,4884425509153427,Mastercard,08/34,26632
52,845,060470367909,Mastercard,03/29,27826
