account_id,customer_id,account_type,account_number,opening_date,balance
0,210,Credit Card,GB43FROO05258667414886,2024-02-28,9120
1,836,Checking,GB62BBKV33021515104859,2020-11-25,76067
2,270,Savings,GB62TZLD33034755881564,2020-04-22,99203
3,197,Savings,GB10TMZI88305832429071,2020-03-19,26860
4,675,Credit Card,GB31DCCA09865075714109,2022-12-06,52484
5,273,Savings,GB89HJAC73247677963113,2022-01-26,85384
6,546,Checking,GB67UCSG52549654379891,2024-02-13,19514
7,799,Savings,GB33XYLH13531544784461,2021-05-15,4915
8,922,Checking,GB44OCEQ00909139542292,2024-07-14,80717
9,897,Savings,GB18DQCX75865686731851,2023-12-11,85538
10,445,Checking,GB28SZWO24365102013744,2019-12-04,22808
11,52,Checking,GB06FDUP13470369160634,2023-07-13,66062
12,189,Savings,GB04AMCT04635546382447,2023-12-31,6528
13,533,Credit Card,GB38ZKYW87875673977518,2021-04-14,82851
14,538,Checking,GB55YDSX56766078705929,2024-08-01,25189
15,835,Credit Card,GB52GXVN56717662434321,2022-06-05,63582
16,662,Checking,GB80KJZT45514207300294,2020-02-19,98268
17,202,Savings,GB64WCCT39985959895558,2023-05-27,83775
18,556,Savings,GB10OGOS70903114880447,2022-08-07,72582
19,656,Savings,GB50WUYW77016245997911,2021-07-20,88082
20,920,Credit Card,GB71JGAO08500104876526,2024-02-02,24830
21,127,Credit Card,GB28YJWG25577723274660,2024-03-24,4816
22,409,Checking,GB92VORL21346671316832,2020-08-06,8091
23,996,Credit Card,GB41TIEI97866651951750,2023-05-21,6360
24,705,Credit Card,GB13KAPH28101055021271,2019-11-07,85827
25,69,Checking,GB97VQPA88299997425639,2019-12-16,40101
26,524,Checking,GB09CAVO68824097163509,2024-01-18,78107
27,979,Credit Card,GB26KXUY33248771583444,2023-12-20,2124
28,452,Credit Card,GB04EATG12702252596280,2024-06-06,86727
29,511,Savings,GB84IVEG49328311481729,2021-12-04,35353
30,686,Credit Card,GB98DBKP41505802003536,2024-07-21,30903
31,834,Checking,GB20ZQXA79783321075112,2021-05-08,24904
32,824,Savings,GB82DSJI37752599010115,2019-12-29,29595
33,58,Savings,GB39WRGI93998957896576,2023-04-07,66632
34,739,Savings,GB82KYYQ76194928194626,2022-09-19,86906
35,760,Credit Card,GB43OTAP40077883713459,2024-01-26,83146
36,148,Credit Card,GB74OEON18075690127474,2024-05-30,26190
37,21,Savings,GB77LHOY71167310168810,2022-11-12,3927
38,14,Savings,GB75OGQD95038957082090,2023-03-25,27202
39,729,Savings,GB39KZIH67494144624425,2022-05-26,78803
40,649,Credit Card,GB65UPWQ82207095993749,2020-12-06,42186
41,854,Savings,GB87QDPP40136702687475,2024-01-30,9384
42,225,Credit Card,GB67NVWJ55592223410930,2021-01-20,52376
43,17,Credit Card,GB65GAFN08067233541594,2023-06-02,53526
44,580,Checking,GB27LBTQ46141391716318,2023-02-22,26990
45,481,Checking,GB55KHQX33462502804921,2023-04-04,36841
46,972,Credit Card,GB97BFHE17279338338932,2022-11-06,60994
47,558,Savings,GB42PKUM41589619633148,2024-02-16,59135
48,931,Credit Card,GB06BRPZ98256514938936,2023-10-18,12109
49,696,Credit Card,GB91QXDP85368900859936,2022-02-19,42934
50,318,Credit Card,GB22XIEP68983272276254,2022-05-12,90260
51,371,Credit Card,GB57NUGG61180429875232,2020-09-19,15996
52,765,Checking,GB29MFPI33719410777132,2024-02-08,50530
53,100,Savings,GB93OCTX42176820657355,2021-12-12,18243
54,728,Savings,GB52AXTQ83413928084224,2023-08-22,38917
55,836,Savings,GB83BVNT59177627024123,2023-09-13,87855
56,536,Savings,GB48JEYZ71678460772231,2024-08-07,54856
57,684,Savings,GB30AKXS27003091321769,2020-10-16,38088
58,892,Savings,GB18FFLV56118310952838,2023-09-30,61979
59,202,Savings,GB96ZSCT91459095708851,2024-04-15,97586
