customer_id,name,date_of_birth,age,gender,address,phone_number,email,education_level,marital_status,income_category
0,Jeffery Hernandez,6/30/1973,51,Male,"141 Kimberly Street South Cheryl, UT 96730",+1-465-772-5820x0272,michael44@example.org,High School,Married,$60K - $80K
1,Valerie Lopez,6/23/1949,75,Male,"291 Allison Mountain Johnsonstad, MA 81377",402-481-4008x38112,chambersbrandy@example.net,Graduate,Single,Less than $40K
2,William Butler,2/10/1971,53,Male,"424 Ray Garden West Tinaville, CO 34902",3998708333,jrusso@example.com,Graduate,Married,$80K - $120K
3,Joseph Burgess,10/6/1999,25,Male,"7989 Davidson Stravenue New Ashleybury, GU 17825",001-504-361-9180x1191,vaughndaniel@example.com,High School,Unknown,Less than $40K
4,Edward Gordon,1/2/1975,49,Male,"03769 Smith Island Ericstad, IA 20370",001-594-898-0119,yvettejohnson@example.com,Uneducated,Married,$60K - $80K
5,John Edwards,5/18/2003,21,Male,"8944 Susan Park Suite 610 Heatherburgh, ID 30276",416.712.4486x57823,mary78@example.net,Graduate,Married,$40K - $60K
6,Jerome Davis,12/20/1958,66,Male,"64033 Novak Plaza Priceside, AK 50084",370-576-3782x832,vcoleman@example.com,Unknown,Married,$120K +
7,Stephanie House DDS,12/30/1952,72,Female,"606 Rebecca Stravenue Port Marciatown, GU 58664",001-936-874-7649x1150,wwilliams@example.com,High School,Unknown,$60K - $80K
8,Ronald Harris,5/2/1953,71,Female,"244 Scott Passage Apt. 724 Port Heather, AZ 62529",810-984-1144x339,janice00@example.org,Uneducated,Single,$60K - $80K
9,Victoria Andersen,8/8/1953,71,Male,"99925 Riddle Radial Suite 870 Aaronland, MN 58394",485.979.0919x706,michaelellis@example.com,Graduate,Single,$80K - $120K
10,Joann Smith,5/9/1999,25,Male,"32433 Lauren Circles Apt. 572 Kennethshire, CT 59829",545-333-4278,daviesblake@example.org,Uneducated,Unknown,$120K +
11,Patricia Ray,11/8/1944,80,Male,"PSC 2362, Box 2727 APO AP 10368",+1-991-785-0286x054,hectorlong@example.net,Unknown,Married,$40K - $60K
12,Sarah Martin,3/8/1974,50,Male,"35997 Wood Crescent Port Brian, SD 56768",+1-551-555-2460x97294,uanderson@example.org,College,Single,$80K - $120K
13,Amanda Jenkins,10/6/1981,43,Female,"0674 Rogers Brook Suite 811 Lawrencefort, OH 49702",(568)339-4429x564,ehunt@example.org,Graduate,Unknown,$60K - $80K
14,Sandra Huynh,8/29/1998,26,Male,"304 Johnson Fork Smithchester, SD 17023",(558)641-5106x10469,dennis76@example.org,Graduate,Married,Less than $40K
15,Selena Burke,12/11/1969,55,Female,"227 Heidi Ford Apt. 978 Heidifort, MT 99808",(765)812-2466x1182,pwyatt@example.org,Unknown,Unknown,$80K - $120K
16,Brittany Mccall,5/26/1957,67,Female,USNV Shaw FPO AE 88798,483-392-5300x006,johnsanford@example.org,Post-Graduate,Single,$80K - $120K
17,James Barr,8/18/2004,20,Male,"74041 Victor Burgs Apt. 560 Lonniestad, RI 97179",001-938-668-0774x5885,marie16@example.com,Unknown,Married,$80K - $120K
18,Kelly Perry,6/7/1975,49,Female,"371 Edwards Stream Apt. 242 Lake Wendyshire, IN 05502",788-553-4849x4307,craigmary@example.org,High School,Married,$40K - $60K
19,Mike White,6/5/1959,65,Male,"5751 Johnson Flat Apt. 830 Lake Veronicamouth, CA 37119",826-248-3781x1854,marshallkristin@example.net,Graduate,Married,Unknown
20,Angela Bean,12/6/1993,31,Female,"69713 Raymond Meadow Harrismouth, ME 16752",+1-773-930-5268x521,paulnelson@example.org,Doctorate,Divorced,$60K - $80K
21,Jason Barrett,7/4/1980,44,Male,"760 Shawn Club West Jill, OK 87558",553.806.8973x156,garciasandra@example.org,Graduate,Married,Less than $40K
22,Amanda Hernandez,1/3/1958,66,Female,Unit 9927 Box 0023 DPO AA 51012,-2990,calvinhernandez@example.org,High School,Married,$40K - $60K
23,Misty Higgins,6/20/1967,57,Male,"PSC 6815, Box 5695 APO AP 64776",001-825-210-5388x450,hhiggins@example.com,Unknown,Single,Less than $40K
24,Thomas Rangel,3/12/1977,47,Female,"28458 Bullock Forest Parkerland, NJ 40920",812.672.8887x2741,hicksalbert@example.com,Unknown,Married,$80K - $120K
25,Timothy Collins,5/23/1952,72,Male,"90434 Davis Lake Gregorymouth, NM 55005",001-467-490-1377x8650,mitchellsmith@example.com,Graduate,Single,Less than $40K
26,Darren Jones,4/5/1982,42,Female,"8076 Kelly Mission Apt. 739 Lisamouth, KS 14712",(208)947-9097,megan50@example.org,High School,Unknown,$40K - $60K
27,Dawn Gross,12/15/1967,57,Male,"338 Benjamin Court Suite 637 North Williambury, AK 05615",-8958,kennethtorres@example.net,Unknown,Married,$60K - $80K
28,Jason Fisher,8/13/1948,76,Male,"8862 Howell Lakes Sandrafort, VA 73970",266.735.3544x68178,willie24@example.net,Uneducated,Single,Unknown
29,Theresa Smith,10/19/1980,44,Female,"377 Stone Springs Suite 372 North Michaelfort, SC 91387",001-235-689-0784,yvonneschwartz@example.com,High School,Married,$40K - $60K
30,Ruben Camacho,6/14/1951,73,Male,"1734 Thomas Inlet West Glennburgh, TX 40939",279-804-8270x92187,charles79@example.net,Unknown,Married,$80K - $120K
31,Misty Ray,4/29/1946,78,Male,"20573 Peter Vista South Regina, NM 49496",(962)343-8793x3620,tara01@example.com,Uneducated,Married,$60K - $80K
32,Reginald Luna,4/9/1973,51,Male,"58158 Stephanie Bridge North Matthew, GA 01594",229.861.8954x305,stephanie42@example.net,Graduate,Married,$60K - $80K
33,Ashley Romero,6/23/1974,50,Male,"244 Hunt Mews Apt. 350 West Dawn, KS 86867",573.315.6367x62543,neallisa@example.com,College,Married,Less than $40K
34,Veronica Myers,12/16/1994,30,Female,"120 Emily Mews Colemanchester, HI 74239",(855)919-5259x22298,colson@example.com,Graduate,Married,$80K - $120K
35,Terry May,1/6/1955,69,Female,"01666 Lisa Keys Suite 236 Seanview, RI 78674",+1-470-425-6191x124,mark12@example.net,College,Single,Less than $40K
36,Cole Cook,11/1/1993,31,Male,"4759 Sanchez Lights West Wayneland, TX 99400",877.644.1457,powerscatherine@example.net,Graduate,Married,Less than $40K
37,Kimberly Meyer,4/24/1966,58,Female,"22428 Henson Meadow Suite 716 Patrickside, NV 40810",(226)557-3693x34789,randallmueller@example.net,High School,Married,Less than $40K
38,Christina Freeman,1/3/1978,46,Male,USS Sanders FPO AP 89196,841.777.0165,jmcdonald@example.com,Graduate,Unknown,$40K - $60K
39,Hannah Kramer,11/2/1964,60,Female,"8106 Vasquez Viaduct Suite 965 South Brandon, VA 64369",(753)695-5643,elizabeth37@example.org,Doctorate,Married,Unknown
40,Christopher Golden,6/5/1973,51,Male,"899 Bailey Tunnel Martinport, VT 19179",+1-815-828-8537x989,cjohnson@example.com,Graduate,Single,$80K - $120K
41,Kimberly Arroyo,11/29/1989,35,Female,"4618 Griffin Roads Gregoryside, RI 86065",001-870-286-3530,agrimes@example.net,Unknown,Married,$40K - $60K
42,Mr. Carlos Gardner DVM,11/14/1975,49,Male,"10483 Thompson Prairie East Tyler, PR 29581",325-838-1425x506,dixonamy@example.com,College,Single,$40K - $60K
43,Patty Jones,9/14/1995,29,Female,"979 Amanda Mall Suite 594 South Jasonstad, KS 37214",001-674-971-3930,ghines@example.com,High School,Married,$60K - $80K
44,Alex Gibson,7/1/1949,75,Female,"43512 Lopez Wells Mcneilton, IN 58886",9933556920,stephanielucas@example.org,Graduate,Single,Unknown
45,Kelly Nelson,5/16/1952,72,Male,"3381 Harris Unions Williamsstad, MT 68666",(770)768-8261x6215,jtucker@example.org,Uneducated,Single,$80K - $120K
46,Phillip Jones,1/28/1992,32,Male,USS Ramirez FPO AP 86623,001-549-982-9001x082,tabitha27@example.org,Doctorate,Married,$60K - $80K
47,Danielle Berry,11/21/1997,27,Male,"710 Day Circles Lake Alanville, TX 95335",(652)668-1666,igoodwin@example.net,Doctorate,Married,$40K - $60K
48,Gina Miller,12/25/1993,31,Female,"2365 Kyle Road Apt. 689 Kellyville, NC 16524",(857)598-3800x1850,harristamara@example.net,High School,Married,$80K - $120K
49,Marco Howe,6/29/1960,64,Male,"29561 Christopher Hills Jordanfort, OH 22042",4947331622,olawrence@example.org,College,Single,$80K - $120K
50,Ryan Smith,10/22/1991,33,Male,"110 Jacobs Spring North Margaret, VA 14599",351.747.6770x6101,shahjenna@example.org,Unknown,Married,Less than $40K
51,Alec Williams,7/19/1973,51,Male,"1599 Julie Point Lauriefurt, VA 31344",305.448.7715,courtney93@example.net,Graduate,Married,Less than $40K
52,Debra Dean,7/17/1986,38,Male,"392 Cervantes Shore Apt. 458 Brownmouth, AK 38910",527-409-3813x3493,wheelermason@example.com,High School,Married,Less than $40K
53,Monica Garcia,3/11/1965,59,Female,"88157 James Skyway Apt. 360 East Erikashire, HI 56790",001-685-352-0544x640,mitchellmatthew@example.net,Unknown,Married,$120K +
54,Stephanie Peterson,11/9/1957,67,Female,"6443 Raymond Roads Port Cody, FL 17048",565.476.7697x9075,cynthiabuchanan@example.net,Graduate,Married,$120K +
55,Mark Perry,2/16/2001,23,Male,"715 Christine Center Port Andrew, WA 89917",4282973486,gvalentine@example.org,Graduate,Unknown,Less than $40K
56,Karen Jones,1/23/1955,69,Male,"26028 Michael Gateway Apt. 514 Howardmouth, VA 41665",001-801-566-4533,jeremymoses@example.com,Graduate,Single,Less than $40K
57,Jason Koch,11/19/1971,53,Female,"44431 Reed Drive Port Sarahtown, CO 31669",319-950-0940x59550,josephsoto@example.com,Uneducated,Married,$40K - $60K
58,Sandra Smith,3/11/1976,48,Male,"9858 Jones Plains Apt. 759 Lake Tiffany, FL 24072",+1-480-703-9284x908,masonmoody@example.net,Graduate,Married,Unknown
59,Ann King,1/2/1980,44,Male,"000 Francis Divide New Joshuashire, NV 56052",001-594-916-1433x27771,emilydavis@example.com,High School,Single,$60K - $80K
60,Eugene Evans,10/19/1985,39,Female,"653 Pamela Club Apt. 675 Stephenburgh, MN 55807",+1-606-385-3784x1175,larry95@example.org,Unknown,Married,$80K - $120K
61,Tracy Landry,9/27/1961,63,Male,"378 Miller Spurs Apt. 062 Smithfurt, OH 43492",(805)901-5309,shannon34@example.net,Graduate,Married,$60K - $80K
62,Christopher Sosa,2/8/1995,29,Male,"54233 Wallace Roads South Stevenburgh, MT 94838",760-770-1167,johnjames@example.com,High School,Divorced,$60K - $80K
63,Cory Howell,7/29/1994,30,Male,"45497 Michael Junctions New Erica, WY 21678",001-320-472-7681,vdean@example.com,Post-Graduate,Single,$120K +
64,John Aguilar,8/10/1957,67,Female,"17705 Sarah Points Suite 025 South Harold, TX 23282",358-272-4046,yatesnancy@example.org,High School,Single,$120K +
65,Julia Fuller,11/26/1984,40,Male,"4453 Dakota Parkway East Maryhaven, OH 75229",001-437-855-1486x389,dustin68@example.net,Uneducated,Single,$80K - $120K
66,Allison Maddox,4/20/1974,50,Male,"5187 Ruiz Ville Apt. 958 Andersonmouth, WA 43999",(615)915-7436x6562,imurillo@example.com,College,Married,$60K - $80K
67,Stephanie Mcdonald,10/13/1969,55,Female,"7604 Michael Road Apt. 331 West Amyburgh, AL 79930",(985)402-5034x8668,montesjoseph@example.org,Uneducated,Single,Less than $40K
68,Cassandra Young,10/22/1980,44,Male,"026 Torres Views Apt. 032 New April, DC 56636",309-433-2786x6288,carlos96@example.org,Graduate,Married,$60K - $80K
69,Cathy Hunt,11/5/1956,68,Male,"2011 Gallegos Parkway Suite 619 New Brian, MA 41203",001-717-884-4684x66694,curtismarie@example.org,Doctorate,Married,$80K - $120K
70,Lori Turner,2/22/1961,63,Male,"59394 Tran Viaduct Port Michaelshire, OH 15662",372.840.4951x8942,angela13@example.net,Graduate,Single,$120K +
71,Tara Ayala,9/13/1995,29,Male,"55011 Keith Roads New Carlafort, NC 79081",001-718-323-9325x3346,erikfrancis@example.com,Graduate,Married,Less than $40K
72,Ricardo Melton,12/9/1979,45,Female,"687 Brown Avenue North Maryton, AK 34893",8824543886,wugabrielle@example.net,Graduate,Unknown,$60K - $80K
73,Sarah Barnett,3/24/1954,70,Female,"716 Ashley Burg Suite 684 Lake Timothy, HI 79106",7137221446,hdickson@example.org,Uneducated,Married,$80K - $120K
74,William Long,4/23/1984,40,Male,"3461 King Trafficway Morganborough, FL 91841",001-934-654-7065x5060,jeremy93@example.org,College,Single,$60K - $80K
75,Jill Flores,6/12/1974,50,Female,"5191 Rodriguez Flats Lake Erinstad, NJ 56701",784-612-8618,gallegosrichard@example.org,Graduate,Single,$80K - $120K
76,William Ramsey,12/31/1948,76,Male,USNV Fox FPO AA 98266,(260)339-0758,taylormichael@example.com,Graduate,Single,Less than $40K
77,Joshua Frye,8/9/1980,44,Male,"0292 Campbell Club Apt. 331 Schmittview, NC 99766",492.459.0859x594,smithjacob@example.com,Uneducated,Single,Less than $40K
78,Patrick Bell,10/24/1950,74,Male,"6475 Matthew Rest New Aaronborough, AS 73457",001-952-823-5083,ucampbell@example.org,Graduate,Divorced,$60K - $80K
79,Robert Obrien,10/27/1973,51,Male,"121 Anna Ville Krausestad, NV 40359",909.642.0259,shannon30@example.org,Graduate,Married,$80K - $120K
80,Cynthia Allison,12/26/2001,23,Male,"12134 Tyler Harbor Scotthaven, WV 81820",6307790790,ycherry@example.org,Graduate,Married,$60K - $80K
