client_id,name,age,gender,address,phone,email
0,Rebecca Navarro,43,Female,"067 Danielle Hills
Hawkinsfort, PR 88232",3382378353,kenneth17@example.net
1,Beth Smith,63,Male,"3586 Brandon Square
North Susan, MN 62166",+1-505-256-5931,isanford@example.com
2,Christina Cervantes,21,Female,"675 Heather Union
Warnerborough, MI 48707",001-253-750-0982x67741,hwood@example.com
3,Dr. Brian Mckee,73,Male,"4269 Travis Course
Thompsonton, SC 13644",(657)571-8273x1095,kmahoney@example.com
4,Tracey Avery,34,Female,"2974 Susan Roads Suite 407
Nixonside, TX 56249",(764)203-5616x570,kimberlyhodge@example.net
5,Janet Chambers,78,Male,"2240 Galvan Glen
Lake Jenniferton, CT 17417",2899613998,cathycoffey@example.org
6,Taylor Martin,20,Male,"969 Larson Road
West Timothy, AK 52897",344.424.6125x20642,gabrielrangel@example.org
7,Kimberly Hanson,74,Female,"1224 Jennifer Villages Suite 984
Port Randy, MN 84952",425-883-1412x4869,phunt@example.com
8,Samantha Harrison,22,Female,"13861 Tom Path Suite 348
Michelleberg, CO 92299",+1-681-596-6745x4523,deborah13@example.org
9,David Simon,33,Female,"PSC 7907, Box 4493
APO AP 09289",975.246.5776x25280,dawnhaley@example.org
10,William Cole,51,Male,"979 Hart Hollow
New Michelle, FM 97114",001-850-893-3115x18512,james00@example.net
11,Patricia Bass,46,Male,"05148 Cheyenne Trail Apt. 021
Lopezside, NC 52571",671-383-7227x766,jessica78@example.net
12,Erica Haas,45,Female,"2036 Justin Springs
New Juliemouth, VI 75834",993.614.6470,garywilliams@example.com
13,Grant Wright,74,Female,"926 Johnson Streets
West Keithburgh, SD 03943",(904)930-7316x1497,randallbobby@example.org
14,Christopher Anderson,79,Female,"640 Williams Locks Apt. 483
West Melissastad, IA 64509",001-871-515-8778,stephanie21@example.net
15,Christopher Smith,70,Male,"344 Davis Gardens Suite 700
Williamsland, NV 60531",+1-936-498-6338,courtney54@example.org
16,Natalie Becker,72,Male,"1884 Sexton Island
Jasonview, CT 30371",+1-571-263-1292x447,blairmelissa@example.net
17,Kim Jones,79,Female,"625 Christian Pass
Francisburgh, TN 32352",(517)707-1376,christopherhobbs@example.com
18,Roger Ellis,32,Male,"1609 Sandy Hill
Tuckertown, MI 35485",932.385.2990,lchaney@example.net
19,Marc Steele,65,Female,"043 Travis Spurs
Micheleside, PW 39248",910-952-8657x4142,brian50@example.org
20,Robin Pope,35,Female,"173 Russell Plain Suite 851
Daviesbury, GA 95153",001-699-841-5634x8547,wberg@example.net
21,Michael Neal,25,Male,"PSC 0700, Box 2350
APO AA 07301",001-815-231-0768x34848,pricephyllis@example.org
